                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1032,                 1.2112,                 1.1395,                 1.0371,                0.99303,                      1,                  0.995,                0.72758,                0.99303,                      1,                  0.995,                0.70324,                0.97776,                 1.5952,                 1.0977,                0.94237,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.1806,                 1.1191,                 1.0853,                 1.0331,                0.99396,                      1,                  0.995,                0.73579,                0.99396,                      1,                  0.995,                0.67478,                 1.0031,                 1.6386,                 1.0024,                0.93494,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0619,                 1.2897,                0.93835,                 1.0039,                0.99451,                      1,                  0.995,                0.74532,                0.99451,                      1,                  0.995,                0.74051,                 1.0547,                 1.5647,                0.96358,                0.94751,               0.001307,               0.001307,               0.001307
                     37,                 1.0343,                  1.139,                0.93836,                 0.9833,                0.99225,                      1,                  0.995,                0.68486,                0.99225,                      1,                  0.995,                0.77261,                 1.0598,                 1.4241,                0.94221,                 0.9558,              0.0012872,              0.0012872,              0.0012872
                     38,                0.95612,                 1.0394,                0.88527,                0.98023,                0.98882,                      1,                  0.995,                 0.6609,                0.98882,                      1,                  0.995,                0.75332,                 1.0487,                 1.3469,                0.85734,                0.95278,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0118,                 1.1142,                0.93441,                 1.0053,                0.98756,                      1,                  0.995,                0.68437,                0.98756,                      1,                  0.995,                0.73617,                 1.0699,                 1.4645,                0.89675,                0.94686,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0127,                 1.1311,                0.91862,                 1.0099,                0.98709,                      1,                  0.995,                0.69955,                0.98709,                      1,                  0.995,                0.71846,                 1.1661,                 1.5283,                0.89902,                0.96383,              0.0012278,              0.0012278,              0.0012278
                     41,                0.97477,                 1.2113,                0.88289,                0.96415,                0.99187,                      1,                  0.995,                 0.6858,                0.99187,                      1,                  0.995,                0.72773,                 1.1851,                 1.3546,                0.93868,                0.96219,               0.001208,               0.001208,               0.001208
                     42,                 1.0476,                 1.2284,                0.94587,                0.99873,                0.99321,                      1,                  0.995,                0.66369,                0.99321,                      1,                  0.995,                0.71995,                 1.1415,                 1.4547,                0.93733,                0.96658,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.038,                 1.0723,                0.87406,                0.98445,                0.99402,                      1,                  0.995,                0.68425,                0.99402,                      1,                  0.995,                0.71673,                 1.0278,                 1.5101,                0.85475,                0.93061,              0.0011684,              0.0011684,              0.0011684
                     44,                0.99263,                  1.089,                 0.8935,                0.97663,                 0.9943,                      1,                  0.995,                0.75489,                 0.9943,                      1,                  0.995,                0.74159,                  0.944,                 1.4446,                0.83425,                0.90486,              0.0011486,              0.0011486,              0.0011486
